id,star,comment
0,4, 此英雄完全自给自足，没有任何超能力，自己造就自己，酷！科技以人为本，发展才是硬道理！
1,4, 如果一个男人嫌女人太聪明了，那一定是因为他自己还不够牛逼
2,4, 这是一个会搞笑，爱臭屁又喋喋不休的英雄噢！结尾那句“I am Iron Man”太帅了~~
3,4, 没想到会比这侠那侠的都要好看！2个多小时的片子并不觉长，紧凑，爽快，意犹未尽……
4,5, 想起一个人，铁臂阿木童.
5,2, 不就是个会飞的锅炉嘛！
6,1, 美国人，真幼稚，就喜欢看大力士
7,4, 所谓最好的超级英雄电影嘛...就算不是也差不了很远了...Robert Downey Jr.真是天才演员...电影的娱乐性十足啊...话说片尾的字幕太长了...在电影院里等最后的小片段还真是考验耐心...
8,1, 腐朽，堕落的资本主义垃圾
9,4, 最近我爱看商业片、动作片、科幻片、动画片、喜剧片。
10,5, 太拉风的装备了。跟蝙蝠侠的摩托一样拉风。
12,5, 资本主义钢铁炮弹，还是纸老虎！
14,2, 蜘蛛侠+哈里波特+功夫+骇客帝国+攻壳II，吐死你！
16,3, 真的只有男生喜欢看吧~
17,4, 冲在高科技份上...
20,3, 中规中矩的超级英雄片。
21,3, 在所有侠中，这个算是最2的了!
23,3, 期望值很高不免有些失望，就当作是mini transformer来看好了。但是看看斯坦李的作品名单吧：蜘蛛侠、神奇四侠、绿巨人、x战警、刀锋战士、夜魔侠……
24,5, 唐尼  goodluck！！
26,4, 看了复仇者连门回来补的，真的在片子最后出现复仇者联盟啊啊啊啊啊。
27,3, Jarvis!!! <3
28,2, 主角不够高大帅；情节老套，经不起推敲而且不够起伏跌宕；噱头不够幽默；就是有那么烂的装备，也不代表会有好票房。烂片
29,4, 看完复仇者联盟之后倒回来看的第一部，才发现是小罗伯特童孩啊！自从演了福尔摩斯之后我就特别喜欢他！哇咔咔！片尾字幕组引导大家先去看绿巨人，再来看钢铁侠第二部！走起！
30,4, Robert Downey Jr.
32,4, SEXY IRON MAN！
33,4, 在电影院看一看图个爽的片子
34,5, 好想也有一套钢铁侠那样的铠甲
40,5, 想起一个人，铁臂阿木童.！哇哈哈！
41,2, 真是除了视效和噱头啥也没有。。。情节弱得要死——女一号不错。。。
42,4, 还不错，就是人造的能这么强吗？
43,5, 撒时候和蝙蝠侠打一场~~~
44,4, 1.Gwy妞儿的出场真是非常的囧，尤其是在Robert·DJr.工作室里那发型......2.莫非什么侠都要和自己的变种决一雌雄？3.“Robert·DJr.的身材不够伟岸，于是需要后期电脑特技时拉长身高，blahblah......”幕后花絮如是说
45,4, 看到后面的彩蛋，真的是太感慨了，托尼与队长相遇用了4年之久，队长则是穿越了来与君相见，惊天地泣鬼神啊！！！！
46,3, Love this kinda super hero
49,4, 果真，当年没有看错汤尼先生
50,4, 男主角又屌屁股又翘！
51,3, 所有进展都可预料，无悬念的电影
53,4, Iron.Man.2008.DVDRiP.XViD-DASH
54,4, 应该算是这几个英雄里面最搞笑的了吧。
55,4, 在自己的心里IM是排在美队之后的 tony虽然矮帅富高智商 这种自恋的样子并没有让我有什么好感 不过制作绝对用心啊 画面感也很好 
57,4, 真正的高帅富啊，简单粗暴外加骚包！~
